factor,group,metric,reference,candidate,n_common_clusters,mean_diff,median_diff,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,n_clusters_improved,n_clusters_worsened,fraction_clusters_improved,weighted_mean_diff_by_n_samples,weighted_mean_diff_by_n_residues
exposure_group,exposed,global_mae,shell_mean,base_v5,54,-0.1185757220424588,-0.147070057285792,-0.15735361017046717,-0.07823674630144424,4.357658289139148e-06,41,13,0.7592592592592593,-0.025169770701524652,-0.01728529074893212
exposure_group,exposed,shell_mae,shell_mean,base_v5,54,-0.09862434149905083,-0.10343657719737533,-0.14224456999872595,-0.05354316400739214,8.783365476729949e-05,42,12,0.7777777777777778,-0.025207870021000375,-0.02199558213290735
exposure_group,exposed,mae_shell_0,shell_mean,base_v5,54,-0.1341593630717307,-0.13933953891197837,-0.22420197944921447,-0.04373614384064007,0.007507038881470336,36,18,0.6666666666666666,-0.03158752677980639,-0.03748869994535187
exposure_group,exposed,mae_shell_1,shell_mean,base_v5,54,-0.07811486090244532,-0.0799418330192565,-0.12794076284637093,-0.028246866351335897,0.0020234875371977377,38,16,0.7037037037037037,-0.01946439626750037,-0.023634715603651768
exposure_group,exposed,mae_shell_2,shell_mean,base_v5,54,-0.08040741638212477,-0.11484044287970974,-0.12116576768221204,-0.038537300564596685,0.00038272927847692083,40,14,0.7407407407407407,-0.02773907275119653,-0.018446244010777674
exposure_group,exposed,mae_shell_3,shell_mean,base_v5,54,-0.07100098091441577,-0.08968304993426489,-0.10861165891887559,-0.03194562026407184,0.0007974455362673878,40,14,0.7407407407407407,-0.02174150414486852,-0.014609642804960325
exposure_group,exposed,mae_shell_4,shell_mean,base_v5,54,-0.12943908622453748,-0.15335587664921346,-0.16995512839273302,-0.08765896580000473,2.3272879858407235e-06,41,13,0.7592592592592593,-0.025506850161630186,-0.015798608299795243
exposure_group,exposed,perturbed_auroc,shell_mean,base_v5,50,0.26578019194235475,0.2948410431382182,0.21414572804990029,0.3122738279500916,8.060396794462577e-11,47,3,0.94,0.3160362390602891,0.31261055309105773
exposure_group,exposed,perturbed_auprc,shell_mean,base_v5,50,0.2849439633015349,0.24809354798683697,0.21816177827296304,0.35713199444301574,5.610267805877811e-11,46,4,0.92,0.23683780671016438,0.23162488117781374
exposure_group,exposed,radius_mae,shell_mean,base_v5,54,-10.513597715403773,0.0,-18.437345779646083,-3.9389962218851986,0.00019028782844543457,23,3,0.42592592592592593,-7.5685095019615005,-7.45243768454699
exposure_group,exposed,class_correct,shell_mean,base_v5,54,0.1925088888682966,0.0,0.06853991029029602,0.32056579124663365,0.007853719853907468,19,6,0.35185185185185186,0.17122074636306137,0.17739207410800933
exposure_group,exposed,class_macro_f1,shell_mean,base_v5,54,0.06416962962276553,0.0,0.02284663676343201,0.10685526374887787,0.007853719853907468,19,6,0.35185185185185186,0.05707358212102045,0.059130691369336436
exposure_group,exposed,non_local_f1,shell_mean,base_v5,54,0.27216270424670985,0.0,0.1676015653407026,0.38164135963713597,4.7934175237965156e-05,21,0,0.3888888888888889,0.20638836179633144,0.1940850277791167
exposure_group,exposed,non_local_recall,shell_mean,base_v5,50,0.32508000068441206,0.0,0.2055325521617849,0.4508892833974703,3.6337671742435264e-05,21,0,0.42,0.21622158902657213,0.1995116340232848
exposure_group,buried,global_mae,shell_mean,base_v5,78,-0.14217074923914255,-0.14974686323717845,-0.17779521998193715,-0.10635933199623297,3.753163537781981e-09,62,16,0.7948717948717948,0.007131651129495407,0.006999617321699291
exposure_group,buried,shell_mae,shell_mean,base_v5,78,-0.15492678837100596,-0.1977431309793123,-0.1966438759461318,-0.11310034320259735,1.9565683336593595e-08,60,18,0.7692307692307693,-0.05615574837295642,-0.0662930355451485
exposure_group,buried,mae_shell_0,shell_mean,base_v5,78,-0.2674334376912205,-0.4230572328937274,-0.34465398898406735,-0.1860800165232782,4.996542395465486e-08,59,19,0.7564102564102564,-0.22027965782833211,-0.24994332672751338
exposure_group,buried,mae_shell_1,shell_mean,base_v5,78,-0.14311029827421987,-0.16815321017338922,-0.18839214474137392,-0.09748566622987045,4.237786184501671e-07,59,19,0.7564102564102564,-0.07189269159000768,-0.09044821761188639
