model_name,factor,group,bootstrap_ci_high__class_correct,bootstrap_ci_high__class_macro_f1,bootstrap_ci_high__global_mae,bootstrap_ci_high__mae_shell_0,bootstrap_ci_high__mae_shell_1,bootstrap_ci_high__mae_shell_2,bootstrap_ci_high__mae_shell_3,bootstrap_ci_high__mae_shell_4,bootstrap_ci_high__non_local_f1,bootstrap_ci_high__non_local_recall,bootstrap_ci_high__perturbed_auprc,bootstrap_ci_high__perturbed_auroc,bootstrap_ci_high__radius_mae,bootstrap_ci_high__shell_mae,bootstrap_ci_low__class_correct,bootstrap_ci_low__class_macro_f1,bootstrap_ci_low__global_mae,bootstrap_ci_low__mae_shell_0,bootstrap_ci_low__mae_shell_1,bootstrap_ci_low__mae_shell_2,bootstrap_ci_low__mae_shell_3,bootstrap_ci_low__mae_shell_4,bootstrap_ci_low__non_local_f1,bootstrap_ci_low__non_local_recall,bootstrap_ci_low__perturbed_auprc,bootstrap_ci_low__perturbed_auroc,bootstrap_ci_low__radius_mae,bootstrap_ci_low__shell_mae,cluster_mean__class_correct,cluster_mean__class_macro_f1,cluster_mean__global_mae,cluster_mean__mae_shell_0,cluster_mean__mae_shell_1,cluster_mean__mae_shell_2,cluster_mean__mae_shell_3,cluster_mean__mae_shell_4,cluster_mean__non_local_f1,cluster_mean__non_local_recall,cluster_mean__perturbed_auprc,cluster_mean__perturbed_auroc,cluster_mean__radius_mae,cluster_mean__shell_mae,n_clusters__class_correct,n_clusters__class_macro_f1,n_clusters__global_mae,n_clusters__mae_shell_0,n_clusters__mae_shell_1,n_clusters__mae_shell_2,n_clusters__mae_shell_3,n_clusters__mae_shell_4,n_clusters__non_local_f1,n_clusters__non_local_recall,n_clusters__perturbed_auprc,n_clusters__perturbed_auroc,n_clusters__radius_mae,n_clusters__shell_mae,n_residues__class_correct,n_residues__class_macro_f1,n_residues__global_mae,n_residues__mae_shell_0,n_residues__mae_shell_1,n_residues__mae_shell_2,n_residues__mae_shell_3,n_residues__mae_shell_4,n_residues__non_local_f1,n_residues__non_local_recall,n_residues__perturbed_auprc,n_residues__perturbed_auroc,n_residues__radius_mae,n_residues__shell_mae,n_samples__class_correct,n_samples__class_macro_f1,n_samples__global_mae,n_samples__mae_shell_0,n_samples__mae_shell_1,n_samples__mae_shell_2,n_samples__mae_shell_3,n_samples__mae_shell_4,n_samples__non_local_f1,n_samples__non_local_recall,n_samples__perturbed_auprc,n_samples__perturbed_auroc,n_samples__radius_mae,n_samples__shell_mae,n_valid_samples__class_correct,n_valid_samples__class_macro_f1,n_valid_samples__global_mae,n_valid_samples__mae_shell_0,n_valid_samples__mae_shell_1,n_valid_samples__mae_shell_2,n_valid_samples__mae_shell_3,n_valid_samples__mae_shell_4,n_valid_samples__non_local_f1,n_valid_samples__non_local_recall,n_valid_samples__perturbed_auprc,n_valid_samples__perturbed_auroc,n_valid_samples__radius_mae,n_valid_samples__shell_mae,residue_weighted_cluster_mean__class_correct,residue_weighted_cluster_mean__class_macro_f1,residue_weighted_cluster_mean__global_mae,residue_weighted_cluster_mean__mae_shell_0,residue_weighted_cluster_mean__mae_shell_1,residue_weighted_cluster_mean__mae_shell_2,residue_weighted_cluster_mean__mae_shell_3,residue_weighted_cluster_mean__mae_shell_4,residue_weighted_cluster_mean__non_local_f1,residue_weighted_cluster_mean__non_local_recall,residue_weighted_cluster_mean__perturbed_auprc,residue_weighted_cluster_mean__perturbed_auroc,residue_weighted_cluster_mean__radius_mae,residue_weighted_cluster_mean__shell_mae,sample_mean__class_correct,sample_mean__class_macro_f1,sample_mean__global_mae,sample_mean__mae_shell_0,sample_mean__mae_shell_1,sample_mean__mae_shell_2,sample_mean__mae_shell_3,sample_mean__mae_shell_4,sample_mean__non_local_f1,sample_mean__non_local_recall,sample_mean__perturbed_auprc,sample_mean__perturbed_auroc,sample_mean__radius_mae,sample_mean__shell_mae,sample_weighted_cluster_mean__class_correct,sample_weighted_cluster_mean__class_macro_f1,sample_weighted_cluster_mean__global_mae,sample_weighted_cluster_mean__mae_shell_0,sample_weighted_cluster_mean__mae_shell_1,sample_weighted_cluster_mean__mae_shell_2,sample_weighted_cluster_mean__mae_shell_3,sample_weighted_cluster_mean__mae_shell_4,sample_weighted_cluster_mean__non_local_f1,sample_weighted_cluster_mean__non_local_recall,sample_weighted_cluster_mean__perturbed_auprc,sample_weighted_cluster_mean__perturbed_auroc,sample_weighted_cluster_mean__radius_mae,sample_weighted_cluster_mean__shell_mae
base_v5,charge_binary_group,charge_involved,0.3747024843302249,0.12490082811007497,0.44169047019222607,0.5370349359066299,0.44570864426464657,0.3811675698728058,0.35960408399127586,0.4640275173985891,0.2744844816311121,0.34339615548757735,0.4097758917411475,0.8411209356116058,33.53933611581991,0.42485366343897435,0.18795288166622653,0.06265096055540885,0.25342308330678304,0.2811856388666431,0.24333250728849717,0.22526485102150848,0.21529268316417288,0.26072985809362625,0.09685768520572903,0.13065899114923826,0.29912589116246796,0.7862149671078928,22.925791424900336,0.2544184453098517,0.2782161574505925,0.0927387191501975,0.3381870016341688,0.3982337226089106,0.3335589536908596,0.2964723087272626,0.2808827232786477,0.35196022126835225,0.18186106375294536,0.23193750006838923,0.35330560258778027,0.8139455665421027,27.939651913275767,0.33222158591480655,59,59,59,59,59,59,59,59,59,59,59,59,59,59,4072508,4072508,4072508,4072508,4072508,4072508,4072508,4072508,4072508,4072508,4072508,4072508,4072508,4072508,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,17030,15983,16011,16011,17030,17030,0.17576984814272742,0.05858994938090914,0.37300013547564065,0.47760092486812605,0.38890101299271695,0.30229747747468916,0.29670117681814595,0.38766387418030457,0.15036410269604855,0.15834663435403248,0.36951987452366303,0.8284465382368339,35.49336460343575,0.37063289326679655,0.1900763358778626,0.0633587786259542,0.351684952061521,0.5685073694278209,0.3972860051147626,0.28114029248583305,0.2928135027818113,0.35755818376570836,0.1666470933646506,0.1775636613902271,0.36458031323217405,0.8319388863310712,31.236524307664816,0.37946107071518725,0.1900763358778626,0.06335877862595418,0.35168495206152095,0.5685073694278209,0.3972860051147626,0.2811402924858331,0.29281350278181134,0.35755818376570836,0.1666470933646506,0.1775636613902271,0.3645803132321742,0.8319388863310713,31.236524307664816,0.37946107071518725
base_v5,charge_binary_group,no_charge_involved,0.44405913059727725,0.14801971019909238,0.8694176658862148,1.125859063777461,1.0702089042852572,0.8200107297056968,0.8129644219744744,0.88464334969331,0.3458256255739028,0.3813089115009259,0.5020825245445205,0.848005226688323,29.00159822450166,0.9358016266363202,0.23426321234643335,0.0780877374488111,0.3114320434474071,0.49965488558921645,0.3972322224521963,0.3099678038866973,0.3041363471840425,0.3059973889946938,0.13909132174720396,0.15613341821898924,0.37505104337270234,0.7708882273406156,20.023387421121328,0.3750281773072465,0.33602239237996334,0.11200746412665445,0.5422519575751317,0.7804708979080107,0.6783985841229062,0.5224748326391503,0.520429395409265,0.5472826702541127,0.23979945144079276,0.26318525448063795,0.4379878211590098,0.8111618502136361,24.416084850796985,0.609811276066689,57,57,57,57,57,57,57,57,57,57,57,57,57,57,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28700,28657,28657,28951,28951,0.5582088470937498,0.18606961569791666,0.4778555478317463,0.38188657717369273,0.33275285562937684,0.319324470733193,0.3266276710318633,0.5382047545744921,0.5525061966739794,0.5573920193271866,0.4329800615402565,0.8117440463050127,25.281850638176028,0.3797592658285236,0.5479948879140617,0.1826649626380205,0.4930688078232569,0.4284694453429935,0.35400347959092476,0.33801944730373007,0.34406162755460096,0.551759386157923,0.5425373907637042,0.5472822299651567,0.4402879640333662,0.8115261934085908,24.91049499713647,0.40326267719003445,0.5479948879140617,0.1826649626380206,0.4930688078232569,0.4284694453429935,0.35400347959092476,0.33801944730373007,0.3440616275546009,0.551759386157923,0.5425373907637042,0.5472822299651567,0.4402879640333663,0.8115261934085911,24.91049499713647,0.4032626771900345
base_v5,charge_group,charged_to_charged_same_sign,0.6710264373307852,0.2236754791102617,0.35145167183648296,0.5925006008081569,0.3115317230644744,0.23779496537987338,0.22645038003113213,0.3773802941610543,0.4014970536709667,0.48495527243155323,0.42510026981383575,0.897322619002875,37.848643125283466,0.3342172262378697,0.13377945210006278,0.044593150700020935,0.15447763414282029,0.23640483202982523,0.1350095018428859,0.12262446578336604,0.1267353898270295,0.1556316592071183,0.0,0.0,0.2504856348492208,0.8027487660375352,9.731586936294814,0.16583866158288735,0.40450681910190706,0.13483560636730232,0.24571713969348696,0.3983325517095693,0.2223639685760949,0.17810285929061015,0.17240644037704067,0.2584585939821663,0.18904284121675424,0.21767416644076984,0.3346858068939595,0.8497824350384724,22.469698351369235,0.24593288278709627,7,7,7,7,7,7,7,7,7,7,7,7,7,7,340700,340700,340700,340700,340700,340700,340700,340700,340700,340700,340700,340700,340700,340700,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,986,993,993,1490,1490,0.3517647707985535,0.11725492359951784,0.3652576451502712,0.5077526176629851,0.3349795281203091,0.2500713485302538,0.24287261675179664,0.3851089665953246,0.31684234929790756,0.38284908042670684,0.3518052107328478,0.8093410395559404,31.471144075520144,0.34415701553213385,0.2912751677852349,0.0970917225950783,0.3026239072002493,0.5305835033429399,0.3494109224025583,0.21978776438351508,0.21694493993849404,0.30846587027974665,0.2342281879194631,0.3539553752535497,0.3405501203208351,0.827576302880386,22.33076797683767,0.3250386000694508,0.2912751677852349,0.0970917225950783,0.3026239072002493,0.5305835033429399,0.3494109224025584,0.21978776438351508,0.2169449399384941,0.30846587027974653,0.2342281879194631,0.3539553752535497,0.34055012032083515,0.827576302880386,22.33076797683767,0.3250386000694508
base_v5,charge_group,charged_to_neutral,0.3688726665456802,0.12295755551522669,0.4107467104593553,0.5798101660440388,0.4060543641839952,0.33298803954911066,0.3162032959724807,0.4333612301355148,0.28183969701540507,0.35633291764948716,0.38492996483160075,0.8366909877423608,30.87872064585302,0.3816843101319201,0.1737458915068165,0.05791529716893881,0.23175304850088443,0.2478170315561566,0.22715486672732446,0.21075164932811682,0.19774288351871055,0.23363169579245993,0.09596661474585616,0.1247704619177027,0.2619466570644268,0.7800674523070913,22.030752740710618,0.2385905344816677,0.26725701725386375,0.08908567241795456,0.30855358837962077,0.3832509714174054,0.3067284778546541,0.2678136106498041,0.2503743883851652,0.31877458553013704,0.183658378580352,0.2355033326369618,0.3225779874184635,0.8084233274997067,26.471015507676647,0.30538840676743323,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2574864,2574864,2574864,2574864,2574864,2574864,2574864,2574864,2574864,2574864,2574864,2574864,2574864,2574864,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10065,9563,9582,9582,10065,10065,0.22588312202653085,0.07529437400884362,0.35738768228846973,0.45346937824583633,0.36425835146645086,0.2906887930504185,0.2809031293392456,0.3745392368256835,0.19247881844082695,0.20329934536705474,0.36706532010131454,0.8267724538132364,32.00484677815992,0.35277177778552704,0.27332339791356186,0.09110779930452062,0.35233900927048595,0.6307953136367778,0.40770622059531497,0.28478311855913224,0.27608160642591834,0.36064486229809145,0.2448087431693989,0.25765973021018507,0.36491181818475554,0.8224550516241701,27.692965051752385,0.39200222430304693,0.27332339791356186,0.09110779930452062,0.35233900927048584,0.6307953136367777,0.40770622059531497,0.2847831185591323,0.2760816064259183,0.36064486229809145,0.2448087431693989,0.25765973021018507,0.36491181818475554,0.82245505162417,27.692965051752385,0.39200222430304693
base_v5,charge_group,negative_to_positive,0.7359434475258293,0.2453144825086097,0.28609145461300045,0.6194935966736843,0.3776185158091777,0.28085328307617774,0.2898408623569126,0.27958763986923574,0.7,,,,40.54101129462371,0.3709033951191726,0.06522022838499185,0.021740076128330614,0.137506570611146,0.22824233675996464,0.133611826324525,0.12566498353877692,0.12029432508288602,0.13900535272768133,0.0026101141924959217,,,,11.56354026794434,0.14970334843331093,0.3959434475258292,0.1319811491752764,0.20875991141095068,0.4120619907546961,0.231836279316118,0.2032591333074773,0.20335786853134205,0.20560975300277606,0.3026101141924959,0.5032679738562091,0.37958416006682955,0.8804489606036933,22.70433834264692,0.2512250049824819,5,5,5,5,5,5,5,5,5,5,5,5,5,5,199208,199208,199208,199208,199208,199208,199208,199208,199208,199208,199208,199208,199208,199208,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,630,632,632,650,650,0.045255504893450926,0.015085168297816975,0.3277140032794975,0.7365039558911121,0.4907022318854895,0.32179242414829784,0.34021491482544547,0.320277632515191,0.033781400774473114,0.03477617908839053,0.3521105495229946,0.8449684005182307,54.705929721468614,0.44189823185310706,0.043076923076923075,0.014358974358974357,0.32836060419887136,0.7381812977466065,0.49169759935391183,0.3224601491434857,0.34092492761742715,0.3208859693331829,0.03230769230769231,0.03333333333333333,0.3520755728993579,0.8449069262495664,54.80059739039494,0.4428299886389228,0.043076923076923075,0.014358974358974357,0.3283606041988715,0.7381812977466063,0.49169759935391183,0.3224601491434857,0.34092492761742715,0.3208859693331829,0.03230769230769231,0.03333333333333333,0.3520755728993579,0.8449069262495664,54.80059739039494,0.44282998863892276
base_v5,charge_group,neutral_to_charged,0.3911488558622317,0.13038295195407723,0.9194483404837648,1.6348860145038813,1.2160896405604686,0.9690138967022596,0.8460265774861938,0.9200566371936998,0.3333333333333333,0.3333333333333333,0.5936149631894235,0.8905902981330499,68.27067239612596,1.0924986422628016,0.0015192262326020288,0.0005064087442006762,0.2753073157292428,0.4176327464901699,0.3415229846866074,0.2688775558946451,0.2249382908902431,0.2621863994212079,0.0,0.0,0.400727044438638,0.7345284207161223,27.198750623075725,0.3308590878548701,0.16848061733192418,0.05616020577730804,0.5460656236623483,0.9766710612144475,0.7325333112931904,0.5526784786218303,0.4816368056638335,0.5394513210044695,0.1111111111111111,0.1111111111111111,0.4944653424966008,0.814821835860014,44.02619992638093,0.6565941955595542,9,9,9,9,9,9,9,9,9,9,9,9,9,9,876549,876549,876549,876549,876549,876549,876549,876549,876549,876549,876549,876549,876549,876549,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4036,4015,4015,4015,4036,4036,0.005163827099347669,0.0017212756997825565,0.4347581054723173,0.4748833060214727,0.46614900984217483,0.35980329971702363,0.32963432857224756,0.45026262953823953,0.0014648353942563394,0.001470399618887077,0.38418374854294346,0.8332347463100929,43.64379421972983,0.41614651473823155,0.005946481665014866,0.0019821605550049554,0.3731863375568725,0.40998146071126124,0.38954029257826217,0.2993795474619599,0.3019408850450782,0.38434633739757407,0.0009910802775024777,0.00099626400996264,0.36694306906892776,0.8491955178556706,40.14642297530434,0.3570377046388271,0.005946481665014866,0.0019821605550049554,0.3731863375568725,0.40998146071126124,0.38954029257826217,0.2993795474619599,0.3019408850450782,0.3843463373975741,0.0009910802775024777,0.00099626400996264,0.3669430690689278,0.8491955178556706,40.14642297530434,0.3570377046388271
base_v5,charge_group,neutral_to_neutral,0.44405913059727725,0.14801971019909238,0.8694176658862148,1.125859063777461,1.0702089042852572,0.8200107297056968,0.8129644219744744,0.88464334969331,0.3458256255739028,0.3813089115009259,0.5020825245445205,0.848005226688323,29.00159822450166,0.9358016266363202,0.23426321234643335,0.0780877374488111,0.3114320434474071,0.49965488558921645,0.3972322224521963,0.3099678038866973,0.3041363471840425,0.3059973889946938,0.13909132174720396,0.15613341821898924,0.37505104337270234,0.7708882273406156,20.023387421121328,0.3750281773072465,0.33602239237996334,0.11200746412665445,0.5422519575751317,0.7804708979080107,0.6783985841229062,0.5224748326391503,0.520429395409265,0.5472826702541127,0.23979945144079276,0.26318525448063795,0.4379878211590098,0.8111618502136361,24.416084850796985,0.609811276066689,57,57,57,57,57,57,57,57,57,57,57,57,57,57,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,8597473,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28951,28700,28657,28657,28951,28951,0.5582088470937498,0.18606961569791666,0.4778555478317463,0.38188657717369273,0.33275285562937684,0.319324470733193,0.3266276710318633,0.5382047545744921,0.5525061966739794,0.5573920193271866,0.4329800615402565,0.8117440463050127,25.281850638176028,0.3797592658285236,0.5479948879140617,0.1826649626380205,0.4930688078232569,0.4284694453429935,0.35400347959092476,0.33801944730373007,0.34406162755460096,0.551759386157923,0.5425373907637042,0.5472822299651567,0.4402879640333662,0.8115261934085908,24.91049499713647,0.40326267719003445,0.5479948879140617,0.1826649626380206,0.4930688078232569,0.4284694453429935,0.35400347959092476,0.33801944730373007,0.3440616275546009,0.551759386157923,0.5425373907637042,0.5472822299651567,0.4402879640333663,0.8115261934085911,24.91049499713647,0.4032626771900345
base_v5,charge_group,positive_to_negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.3125186395067372,0.35107910753941585,0.2422306178208844,0.1694153554548733,0.3823906402288003,0.361040493354876,0.0,0.0,0.3813303897681055,0.8595236343414336,25.643860685749416,0.30123124287976993,2,2,2,2,2,2,2,2,2,2,2,2,2,2,81187,81187,81187,81187,81187,81187,81187,81187,81187,81187,81187,81187,81187,81187,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,0.0,0.0,0.3452847161988645,0.516998773907594,0.31675978810460415,0.2232983779387347,0.5635647707349363,0.30396001481633206,0.0,0.0,0.388805524953098,0.8543938562755137,28.274046346007626,0.3849163451004402,0.0,0.0,0.3452199397504264,0.5166707612860539,0.31661244867787386,0.22319185463231594,0.563206601008566,0.30407285928988975,0.0,0.0,0.38879074708654326,0.8544039975202988,28.26884663633823,0.3847509049789399,0.0,0.0,0.3452199397504264,0.516670761286054,0.31661244867787386,0.22319185463231597,0.563206601008566,0.30407285928988975,0.0,0.0,0.38879074708654326,0.8544039975202988,28.26884663633823,0.3847509049789399
base_v5,domain_group,multi_domain,0.5161877282656867,0.1720625760885622,0.9326040624516498,0.9903159358788322,1.0234228300166461,0.8302551036593769,0.8264861937634157,0.9593404200789243,0.4175228505672841,0.4532608730616704,0.4548445671925145,0.8290643500266657,35.92799637112968,0.917280996013378,0.27573281064241617,0.09191093688080539,0.32016620898983433,0.3830928186000397,0.3233452764084855,0.2967910307004267,0.2966337047280462,0.3270536989143091,0.1734868327343546,0.19437967412631157,0.3106390100393792,0.7551528114395445,22.73313137548954,0.3346430844871042,0.3948085035449022,0.13160283451496738,0.5689092340311376,0.6427966249238093,0.6061560182499083,0.514549146504064,0.5095005135558858,0.5849953400053196,0.2921112468622169,0.3200124664092627,0.37942982036634076,0.792315376588729,28.928735704633414,0.5715995286477975,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1220569,1220569,1220569,1220569,1220569,1220569,1220569,1220569,1220569,1220569,1220569,1220569,1220569,1220569,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,3113,2936,2879,2879,3113,3113,0.19435711804363168,0.06478570601454388,0.4349961445878578,0.5303505166784904,0.44764876872853254,0.3792242257672773,0.3560059173378616,0.45605985441160146,0.1567001129935905,0.16649671773301378,0.3444762023836027,0.7973643229108491,41.76008562221193,0.4338578565847526,0.2017346610986187,0.0672448870328729,0.5369378025104141,0.5965044132605057,0.5645708260723287,0.47571201839564786,0.4513595575467775,0.5603601163349557,0.1657565049791198,0.17574931880108993,0.35481453680520886,0.8097179444097177,38.17400300851253,0.5297013863220431,0.2017346610986187,0.06724488703287289,0.5369378025104141,0.5965044132605059,0.5645708260723287,0.4757120183956478,0.45135955754677753,0.5603601163349559,0.1657565049791198,0.17574931880108993,0.3548145368052089,0.8097179444097179,38.17400300851253,0.5297013863220431
base_v5,domain_group,single_domain,0.32061635326909604,0.10687211775636533,0.4040479869109879,0.706305559168365,0.5293751886788182,0.38703504875415673,0.3855887232932169,0.4289529397179272,0.22085517073684263,0.2657987390597117,0.44932586101229816,0.8641199393468527,27.42061102590475,0.46695078988007116,0.1480335449093949,0.04934451496979831,0.23890266429072166,0.3639732487782695,0.30039315247307996,0.23581194478772527,0.21138776442624546,0.23468688311927074,0.06361993449234814,0.07845480834177644,0.33123696769305444,0.8015445024583432,19.866779467943978,0.28189317572378597,0.23116146589718567,0.07705382196572855,0.30909674238199636,0.5236308941568185,0.40708465196941335,0.305670641571491,0.2875870615523964,0.31467269491223493,0.13753072318840479,0.167319400736419,0.38958048514880234,0.8339623231743546,23.64384392086686,0.36772918883247085,51,51,51,51,51,51,51,51,51,51,51,51,51,51,11444084,11444084,11444084,11444084,11444084,11444084,11444084,11444084,11444084,11444084,11444084,11444084,11444084,11444084,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,41740,41782,41782,42860,42860,0.46103509075683896,0.15367836358561296,0.44509168559592766,0.4002680141134234,0.34054040510943867,0.3069017599703077,0.31283066538006116,0.4933742248158776,0.45171268319021773,0.46007952170399646,0.42012856706021245,0.8189684374562884,27.148646911833932,0.3707830138778217,0.4310079328044797,0.14366931093482654,0.43370850073974476,0.47195641603200605,0.35592889493152624,0.30543362820529796,0.3159108676254572,0.4739773810713307,0.4206252916472235,0.4319118351701006,0.4171625890308742,0.8194743354140875,26.45552940487695,0.3846414375731236,0.4310079328044797,0.14366931093482657,0.43370850073974465,0.47195641603200605,0.35592889493152624,0.30543362820529796,0.3159108676254572,0.4739773810713307,0.4206252916472235,0.4319118351701006,0.4171625890308742,0.8194743354140877,26.45552940487695,0.3846414375731235
