model_name,response_threshold,radius_threshold,displacement_threshold,derived_radius_mae,derived_class_macro_f1,cluster_avg_radius_mae,cluster_avg_class_macro_f1
base_v5_seed42,0.1,6.0,0.5,15.933649289847995,0.28326571641643267,12.662611164946751,0.28306162978644717
base_v5_seed42,0.1,8.0,0.5,15.933649289847995,0.2834609731405695,12.662611164946751,0.2816015998971793
base_v5_seed42,0.1,10.0,0.5,15.933649289847995,0.281384499056975,12.662611164946751,0.28098495976134574
base_v5_seed42,0.1,12.0,0.5,15.933649289847995,0.2971694580051505,12.662611164946751,0.27960359199770435
base_v5_seed42,0.2,6.0,0.5,16.549957579150576,0.28436829360246146,14.774467458789081,0.26045969135531083
base_v5_seed42,0.2,8.0,0.5,16.549957579150576,0.28559744169866236,14.774467458789081,0.25951690211205064
base_v5_seed42,0.2,10.0,0.5,16.549957579150576,0.28296993270948173,14.774467458789081,0.25736755230436204
base_v5_seed42,0.2,12.0,0.5,16.549957579150576,0.29524391166452296,14.774467458789081,0.25605350221836554
base_v5_seed42,0.3,6.0,0.5,17.89041849463453,0.3328244900209341,16.285066825105268,0.24214620554656557
base_v5_seed42,0.3,8.0,0.5,17.89041849463453,0.33270437615053666,16.285066825105268,0.2414386815102897
base_v5_seed42,0.3,10.0,0.5,17.89041849463453,0.34006821479556576,16.285066825105268,0.23927140392330956
base_v5_seed42,0.3,12.0,0.5,17.89041849463453,0.3402435665991183,16.285066825105268,0.23937043447143086
base_v5_seed42,0.4,6.0,0.5,19.873601750582125,0.3060121269519389,18.275413431183253,0.22282600223619503
base_v5_seed42,0.4,8.0,0.5,19.873601750582125,0.3055764083174792,18.275413431183253,0.2222415660344518
base_v5_seed42,0.4,10.0,0.5,19.873601750582125,0.3104330620921558,18.275413431183253,0.22119395985675522
base_v5_seed42,0.4,12.0,0.5,19.873601750582125,0.30906338632817576,18.275413431183253,0.22296764052154963
base_v5_seed42,0.5,6.0,0.5,20.348219006614094,0.3006246105225662,19.82656855561317,0.20283173088670095
base_v5_seed42,0.5,8.0,0.5,20.348219006614094,0.300037388602538,19.82656855561317,0.2025136731030337
base_v5_seed42,0.5,10.0,0.5,20.348219006614094,0.3044737793200676,19.82656855561317,0.20286792479744217
base_v5_seed42,0.5,12.0,0.5,20.348219006614094,0.3033613549866651,19.82656855561317,0.20374805548907712
base_v5_seed42,0.6,6.0,0.5,21.212815241994445,0.28340423965746225,22.079653608037948,0.1769822256588638
base_v5_seed42,0.6,8.0,0.5,21.212815241994445,0.2825944331207167,22.079653608037948,0.1780538931122821
base_v5_seed42,0.6,10.0,0.5,21.212815241994445,0.28699890321718063,22.079653608037948,0.17932682047469642
base_v5_seed42,0.6,12.0,0.5,21.212815241994445,0.2842750239993674,22.079653608037948,0.17775727917126005
base_v5_seed42,0.7,6.0,0.5,22.00375130974296,0.27243818982287576,23.488880569554084,0.16010184660106233
base_v5_seed42,0.7,8.0,0.5,22.00375130974296,0.2720187842483323,23.488880569554084,0.16077686263240012
base_v5_seed42,0.7,10.0,0.5,22.00375130974296,0.2766167947293727,23.488880569554084,0.16038123605534202
base_v5_seed42,0.7,12.0,0.5,22.00375130974296,0.26583479158479667,23.488880569554084,0.1582225325840726
base_v5_seed42,0.1,6.0,1.0,15.933649289847995,0.3192778606044964,12.662611164946751,0.21600799701133983
base_v5_seed42,0.1,8.0,1.0,15.933649289847995,0.3183764741104389,12.662611164946751,0.21495087776414357
base_v5_seed42,0.1,10.0,1.0,15.933649289847995,0.3186231294793793,12.662611164946751,0.21479483656750067
base_v5_seed42,0.1,12.0,1.0,15.933649289847995,0.3167543809935945,12.662611164946751,0.21386039681514102
base_v5_seed42,0.2,6.0,1.0,16.549957579150576,0.3192638830561627,14.774467458789081,0.2158503115595367
base_v5_seed42,0.2,8.0,1.0,16.549957579150576,0.31836242671000264,14.774467458789081,0.21479319231234048
base_v5_seed42,0.2,10.0,1.0,16.549957579150576,0.31855594230680656,14.774467458789081,0.214523305775237
base_v5_seed42,0.2,12.0,1.0,16.549957579150576,0.31667376884785586,14.774467458789081,0.21355992733176316
base_v5_seed42,0.3,6.0,1.0,17.89041849463453,0.3194143358906399,16.285066825105268,0.21519826142593274
base_v5_seed42,0.3,8.0,1.0,17.89041849463453,0.3186533896926824,16.285066825105268,0.2143567842394494
base_v5_seed42,0.3,10.0,1.0,17.89041849463453,0.3184443435731792,16.285066825105268,0.2140866438218059
base_v5_seed42,0.3,12.0,1.0,17.89041849463453,0.3205023291371368,16.285066825105268,0.21402934359476306
base_v5_seed42,0.4,6.0,1.0,19.873601750582125,0.3217427178972727,18.275413431183253,0.2115629930824194
base_v5_seed42,0.4,8.0,1.0,19.873601750582125,0.3210378607555664,18.275413431183253,0.21098382851098316
base_v5_seed42,0.4,10.0,1.0,19.873601750582125,0.3192771533351841,18.275413431183253,0.21059436662682152
base_v5_seed42,0.4,12.0,1.0,19.873601750582125,0.32580429101078145,18.275413431183253,0.21158088094084015
base_v5_seed42,0.5,6.0,1.0,20.348219006614094,0.3114997510813355,19.82656855561317,0.20087013076632296
base_v5_seed42,0.5,8.0,1.0,20.348219006614094,0.31081429056205273,19.82656855561317,0.20011215371149574
base_v5_seed42,0.5,10.0,1.0,20.348219006614094,0.31132631791944587,19.82656855561317,0.1996291072615233
base_v5_seed42,0.5,12.0,1.0,20.348219006614094,0.31649548635114716,19.82656855561317,0.20067790334634414
base_v5_seed42,0.6,6.0,1.0,21.212815241994445,0.2926144004421664,22.079653608037948,0.1737108837826183
base_v5_seed42,0.6,8.0,1.0,21.212815241994445,0.2921634357946058,22.079653608037948,0.17493632863556335
base_v5_seed42,0.6,10.0,1.0,21.212815241994445,0.294275457005746,22.079653608037948,0.17622986193274806
base_v5_seed42,0.6,12.0,1.0,21.212815241994445,0.2950898019813562,22.079653608037948,0.17420601780615494
base_v5_seed42,0.7,6.0,1.0,22.00375130974296,0.2861868180813108,23.488880569554084,0.154323160155086
base_v5_seed42,0.7,8.0,1.0,22.00375130974296,0.2874097602061572,23.488880569554084,0.15526833384512068
base_v5_seed42,0.7,10.0,1.0,22.00375130974296,0.2903047191713625,23.488880569554084,0.1549523379883128
base_v5_seed42,0.7,12.0,1.0,22.00375130974296,0.28222008215260125,23.488880569554084,0.15237733521865773
base_v5_seed42,0.1,6.0,1.5,15.933649289847995,0.3414808243451166,12.662611164946751,0.18348052880929835
base_v5_seed42,0.1,8.0,1.5,15.933649289847995,0.34170544507915984,12.662611164946751,0.1833744785751636
base_v5_seed42,0.1,10.0,1.5,15.933649289847995,0.3414859572534899,12.662611164946751,0.18338194943080577
base_v5_seed42,0.1,12.0,1.5,15.933649289847995,0.34154264511279164,12.662611164946751,0.18331301197348027
base_v5_seed42,0.2,6.0,1.5,16.549957579150576,0.3414808243451166,14.774467458789081,0.18348052880929835
base_v5_seed42,0.2,8.0,1.5,16.549957579150576,0.34170544507915984,14.774467458789081,0.1833744785751636
