alignment_variant_reference,cluster_id_30,n_samples_reference,n_residues_reference,global_mae_cluster_mean_reference,perturbed_auroc_cluster_mean_reference,perturbed_auprc_cluster_mean_reference,mae_shell_0_cluster_mean_reference,mae_shell_1_cluster_mean_reference,mae_shell_2_cluster_mean_reference,mae_shell_3_cluster_mean_reference,mae_shell_4_cluster_mean_reference,shell_mae_cluster_mean_reference,alignment_variant_candidate,n_samples_candidate,n_residues_candidate,global_mae_cluster_mean_candidate,perturbed_auroc_cluster_mean_candidate,perturbed_auprc_cluster_mean_candidate,mae_shell_0_cluster_mean_candidate,mae_shell_1_cluster_mean_candidate,mae_shell_2_cluster_mean_candidate,mae_shell_3_cluster_mean_candidate,mae_shell_4_cluster_mean_candidate,shell_mae_cluster_mean_candidate,diff_shell_mae,diff_perturbed_auprc,improved_shell_mae,reference,candidate
kabsch_exclude_4A,5mdw_6,1,32,0.356319043203257,0.38857142857142857,0.19281302484569274,0.43246639768282563,0.543571162223816,0.10017946362495424,0.09968994557857513,0.36247558401603447,0.3076765106252411,kabsch_exclude_8A,1,32,0.4935689624398947,0.27564102564102566,0.14729240268033372,0.5898435910542806,0.5663026928901672,0.39122683306535094,0.5307555347681046,0.47147215745951,0.5099201618474826,0.20224365122224147,-0.045520622165359015,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,8r3c_A,150,7050,0.19610357298225112,0.9626554018943853,0.30905566185188155,0.3696860828002294,0.20993923659746846,0.17257070113532244,0.1142037510673205,0.19543934211115507,0.2123678227422992,kabsch_exclude_8A,150,7050,0.21511274203684524,0.9637265176579692,0.3236727850334196,0.6425761305623584,0.38575498800724745,0.18012215523483852,0.10672932300468285,0.18677509740101716,0.30039153884202885,0.08802371609972964,0.014617123181538072,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,3ax3_A,6,396,0.6581177536134768,0.7266826923076922,0.616112043747967,1.4165311257044475,0.872420072555542,0.6972884525629607,0.7191039667445787,0.4607459935240256,0.8332179222183109,kabsch_exclude_8A,6,396,0.6616292903199792,0.7160427084741182,0.6488080386902056,1.536672681570053,0.9664590151773559,0.699271428652785,0.6951178533538264,0.4480457102688841,0.8691133378045809,0.03589541558626996,0.032695994942238626,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,2o94_B,16,1088,0.23662826509954518,0.7467350746268657,0.03335682453886162,0.17452321698268258,0.22692597603114942,0.21696533208402494,0.17897679194808006,0.25208983053378564,0.2098962295159445,kabsch_exclude_8A,16,1088,0.26847719391876396,0.7132216014897579,0.023883568503548856,0.17860069684684277,0.2226807273303469,0.1910276331473142,0.1967717196792364,0.2996486349748497,0.217745882395718,0.007849652879773489,-0.009473256035312766,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,9r2f_C,54,3888,7.404795412173487,,,6.525042991579315,8.475892483052753,6.3961734312552,6.3261257356831,7.59460656454473,7.063568241223019,kabsch_exclude_8A,54,3888,7.429715696415661,,,7.275227471634194,8.801514265934626,6.86760326690144,6.636440075046959,7.4830697711800385,7.412770970139452,0.349202728916433,,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,1y39_A,1,74,0.20197361561696273,0.6438356164383562,0.037037037037037035,0.509052445491155,0.23843546584248543,0.2389946781537112,0.18493192992173135,0.15520178177393973,0.2653232602366046,kabsch_exclude_8A,1,74,0.18563224911387707,0.7945205479452054,0.0625,0.5114122927188874,0.2027434396247069,0.19700131116106231,0.1573509348090738,0.15998286474496126,0.24569816861173832,-0.019625091624866253,0.025462962962962965,True,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,2d5g_D,4,332,0.28474075804991894,0.862881665963135,0.34974717493853,0.21358502159516016,0.1686337304612001,0.1264186417683959,0.20414936571167067,0.421000507246289,0.22675745335654315,kabsch_exclude_8A,4,332,0.2850201556750809,0.8511326860841424,0.3513748071555578,0.20920422673225403,0.13970409830411276,0.1369136202459534,0.20786415019000953,0.42065011953107184,0.22286724300068034,-0.0038902103558628165,0.0016276322170277746,True,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,1z8u_A,2,180,0.28122529006149205,0.9535283993115318,0.6752735532238638,2.194876899321874,0.9964221939444542,0.29301854595541954,0.1677880206455787,0.19633725490016135,0.7696885829534976,kabsch_exclude_8A,2,180,0.28021819666028025,0.9543650793650794,0.7622323042692254,1.957037885983785,0.9552955478429795,0.3378413412719965,0.20749803694585958,0.19705204546883487,0.730944971502691,-0.038743611450806625,0.08695875104536155,True,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,7nlg_C,7,631,0.19663760016883375,0.6003929974991068,0.028292684521535456,0.24504481894629343,0.3481247361217226,0.18815114604015098,0.21308424048028984,0.17095705231876152,0.23307239878144367,kabsch_exclude_8A,7,631,0.19621106055631596,0.6525544837441943,0.02719264909196418,0.23338646086908527,0.3317253738641739,0.16163675137387032,0.1964248898015781,0.19095000899503015,0.22282469698074756,-0.010247701800696118,-0.001100035429571277,True,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,4x88_A,66,6012,0.16201018900545444,0.9598457098457098,0.03621745996233282,0.29705814068967645,0.157505002126775,0.19337644916466715,0.1343246502068299,0.15700611795327973,0.18785407202824564,kabsch_exclude_8A,66,6012,0.18310793271669046,0.9607337107337106,0.04617220536221843,0.39354108554320505,0.2460875302214514,0.23154519698118337,0.1401412964528282,0.16935327977795875,0.23613367779532535,0.04827960576707971,0.009954745399885612,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,6r6n_B,2,200,0.11724692234769464,0.9318181818181818,0.5344827586206896,0.12798310816287997,0.08721727691590789,0.12183114805737057,0.08234092534985393,0.14360206946730614,0.1125949055906637,kabsch_exclude_8A,2,200,0.11840380075853318,0.9217171717171717,0.5303030303030303,0.2589942067861557,0.11952145770192146,0.10525436638980298,0.07847013120772317,0.1441661564194981,0.1412812637010203,0.028686358110356594,-0.004179728317659337,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,1ct1_E,3795,390885,0.2790182806153711,0.8442714783940697,0.21837144125491129,1.3701123460971039,0.5985894334028349,0.20453121018535,0.28263786059049056,0.2230960232223358,0.535793374699623,kabsch_exclude_8A,3795,390885,0.28640348738529914,0.8751705785312808,0.2702375563878271,1.3996378755858712,0.6946073507050667,0.2120915767362376,0.27847041608198353,0.2265989336564392,0.5622812305531196,0.026487855853496667,0.05186611513291581,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,6e2j_A,1,107,0.4474784236784293,0.7429824561403509,0.4711750890609289,0.6037865181763965,0.9060503939787546,0.63352530002594,0.7141914218664169,0.3888554744673579,0.6492818217029732,kabsch_exclude_8A,1,107,1.075253756803887,0.7530701754385964,0.4236698065006889,1.4114710986614227,1.3257339199384053,1.19649395942688,1.1209723576903343,1.0381682689270277,1.218567920928814,0.5692860992258408,-0.04750528256024,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,3cyi_A,9,963,2.2164719322675053,0.6124338624338624,0.9123400816720437,1.5172932788177773,1.5118534408864521,1.4134304110257903,2.1841132751899712,2.674269489834661,1.8601919791509303,kabsch_exclude_8A,9,963,2.392846243279993,0.6352720696692329,0.9331534926680098,1.8781688533447407,1.7938427887265644,1.7034180476073106,2.36980169380872,2.7769618138637284,2.104438639470213,0.24424666031928255,0.02081341099596612,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,1vyd_B,4,464,0.13420156951078438,0.8852813852813853,0.25925925925925924,0.17268635580937067,0.21827802341431385,0.12521368130627605,0.12914780975940326,0.1319332843585337,0.1554518309295795,kabsch_exclude_8A,4,464,0.15747300981030124,0.922077922077922,0.2635135135135135,0.17689971129099533,0.22192467842251065,0.13202498077104488,0.15590476601695022,0.16057178124663282,0.16946518354962678,0.01401335262004727,0.004254254254254242,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,4xy5_A,6,726,0.1168639098406967,0.9561452513966481,0.7589880952380952,0.14959357927242914,0.06310949164132279,0.09849150611958264,0.10367384172111217,0.14788580541462862,0.11255084483381508,kabsch_exclude_8A,6,726,0.10634996500456341,0.9607159460715946,0.7687255344775671,0.08806310221552846,0.05322271452418396,0.08909757843787741,0.09213457214978657,0.14092048895076031,0.09268769125562734,-0.019863153578187742,0.009737439239471901,True,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,1u5o_A,9,1113,0.30775496815410774,0.8723788465081996,0.4644518841362836,0.4287429043540248,0.21113104200449542,0.22678077138741226,0.22856514728036376,0.3488210038188845,0.28880817376903617,kabsch_exclude_8A,9,1113,0.30796978054007534,0.8819584049124602,0.5107138024460913,0.496071716149648,0.2244539526493653,0.23017489402007094,0.22920395847080657,0.3444277208604451,0.3048664484300672,0.016058274661031047,0.04626191830980775,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,1vzi_B,40,5000,0.21487109331032261,0.5180443389188101,0.0073450118771359605,0.2538843643075476,0.15268170562289332,0.201841097069938,0.2105998742599542,0.22793436426593452,0.20938828110525357,kabsch_exclude_8A,40,5000,0.14078049168568105,0.5561206985748594,0.008125911096896095,0.11327681920180718,0.08157510693063555,0.10850627651713171,0.11217180022229802,0.17369226357304027,0.11784445328898255,-0.09154382781627102,0.0007808992197601344,True,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,5xuh_A,6,750,0.5757072896758715,0.7039249330915998,0.4178148778216905,0.10009005293250087,0.23869545730175795,0.26638646417281087,0.477001143268485,0.7532748284579163,0.3670895892266942,kabsch_exclude_8A,6,750,0.6067964485337337,0.6598080217944216,0.37323041643180904,0.13976736615101498,0.273921899497509,0.2995720180895245,0.5117215472071067,0.7817393372298826,0.40134443363500755,0.034254844408313334,-0.04458446138988148,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,7bxo_B,22,2901,0.32197766184392046,0.8316035391728966,0.47151226733052554,2.6805065854480774,1.186787616185568,0.44512438325336867,0.22644160177464348,0.21258167163792216,0.950288371659916,kabsch_exclude_8A,22,2901,0.35141885918088356,0.8318469075268444,0.43890892116693564,2.8698237019054815,1.3372081002151524,0.5148871436020254,0.26540220926126723,0.22650989832867163,1.0427662106625195,0.09247783900260353,-0.0326033461635899,False,kabsch_exclude_4A,kabsch_exclude_8A
kabsch_exclude_4A,2eyp_A,58,7878,0.19800916078232567,0.78321803788103,0.07887230618208729,0.17128449729804335,0.16655448478970514,0.15886499090014763,0.18180903710831064,0.22319546562197595,0.18034169514363657,kabsch_exclude_8A,58,7878,0.19600105167556423,0.8002931305715784,0.09974237332908675,0.14513473512454964,0.15722602273108086,0.1484555736198178,0.17623098665390383,0.2274981982530948,0.1709091032764894,-0.009432591867147178,0.02087006714699946,True,kabsch_exclude_4A,kabsch_exclude_8A
